French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
aujourd'hui,today
cause,cause
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
aura,will have
jouer,to play
bureau,office
